w434,w445,w465,w472,w490,w504,w537,w555,w584,w600,w610,w628,w651,w674
1,0.86,0.42,0.42,0.18,0.06,0.07,0.04,0.02,0.07,0.09,0.12,0.13,0.16
0.86,1,0.5,0.44,0.22,0.09,0.07,0.07,0.02,0.04,0.07,0.11,0.13,0.14
0.42,0.5,1,0.81,0.47,0.17,0.1,0.08,0.02,0.01,0.02,0.01,0.05,0.03
0.42,0.44,0.81,1,0.54,0.25,0.1,0.09,0.02,0.01,0,0.01,0.02,0.04
0.18,0.22,0.47,0.54,1,0.61,0.31,0.26,0.07,0.02,0.02,0.01,0.02,0
0.06,0.09,0.17,0.25,0.61,1,0.62,0.45,0.14,0.08,0.02,0.02,0.02,0.01
0.07,0.07,0.1,0.1,0.31,0.62,1,0.73,0.22,0.14,0.05,0.02,0.02,0
0.04,0.07,0.08,0.09,0.26,0.45,0.73,1,0.33,0.19,0.04,0.03,0.02,0.02
0.02,0.02,0.02,0.02,0.07,0.14,0.22,0.33,1,0.58,0.37,0.27,0.2,0.23
0.07,0.04,0.01,0.01,0.02,0.08,0.14,0.19,0.58,1,0.74,0.5,0.41,0.28
0.09,0.07,0.02,0,0.02,0.02,0.05,0.04,0.37,0.74,1,0.76,0.62,0.55
0.12,0.11,0.01,0.01,0.01,0.02,0.02,0.03,0.27,0.5,0.76,1,0.85,0.68
0.13,0.13,0.05,0.02,0.02,0.02,0.02,0.02,0.2,0.41,0.62,0.85,1,0.76
0.16,0.14,0.03,0.04,0,0.01,0,0.02,0.23,0.28,0.55,0.68,0.76,1
